Gene,Refseq,chr,start,end,strand,siNup153,siNup93,DamID_Nup153,DamID_Nup93,DamID_Class,siNup_any,siRNA_Class,siRNA_bool,DamID_bool,siNup93_expr,siNup93_bool,siNup153_expr,siNup153_bool,chr_loci,incl_nup_si_dam
LOC101927244,NR_125938,1,71172136,71252151,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.071172136,TRUE
PTGER3,NR_028292,1,71318036,71513491,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.071318036,TRUE
ZRANB2-AS1,NR_038420,1,71512189,71532865,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.071512189,TRUE
ZRANB2,NM_005455,1,71528974,71546972,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.071528974,TRUE
MIR186,NR_029707,1,71533314,71533399,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.071533314,TRUE
ZRANB2-AS2,NR_046217,1,71547007,71703406,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.071547007,TRUE
NEGR1,NM_173808,1,71868625,72748277,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.071868625,TRUE
NEGR1-IT1,NR_046218,1,72259915,72302695,-,0,0,1,0,2,0,0,0,1,none,0,none,0,1.072259915,TRUE
LINC01360,NR_110676,1,73771853,73804560,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.073771853,TRUE
LRRIQ3,NM_001105659,1,74491702,74663871,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.074491702,TRUE
FPGT-TNNI3K,NM_001112808,1,74663896,75010116,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.074663896,TRUE
FPGT,NM_001199328,1,74663896,74674386,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.074663896,TRUE
TNNI3K,NM_015978,1,74701071,75010116,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.074701071,TRUE
ERICH3,NM_001002912,1,75033795,75139422,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.075033795,TRUE
ERICH3-AS1,NR_121670,1,75055419,75091782,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.075055419,TRUE
CRYZ,NM_001889,1,75171172,75199092,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.075171172,TRUE
TYW3,NM_138467,1,75198840,75232360,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.07519884,TRUE
LHX8,NM_001001933,1,75594119,75627218,+,-1,-1,1,0,2,1,3,1,1,change,1,change,1,1.075594119,TRUE
SLC44A5,NM_001130058,1,75667816,76076799,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.075667816,TRUE
ACADM,NM_001286043,1,76190032,76229363,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076190032,TRUE
DLSTP1,NR_130749,1,76207687,76210698,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076207687,TRUE
RABGGTB,NR_073562,1,76251879,76260775,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076251879,TRUE
SNORD45C,NR_003042,1,76252757,76252834,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076252757,TRUE
SNORD45A,NR_002749,1,76253574,76253657,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076253574,TRUE
SNORD45B,NR_002748,1,76255162,76255232,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076255162,TRUE
MSH4,NM_002440,1,76262556,76378923,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.076262556,TRUE
ASB17,NR_026546,1,76384558,76398116,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076384558,TRUE
LOC101927342,NR_125939,1,76477009,76485041,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076477009,TRUE
ST6GALNAC3,NM_152996,1,76540389,77096669,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.076540389,TRUE
ST6GALNAC5,NM_030965,1,77333186,77529737,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.077333186,TRUE
MIR7156,NR_106978,1,77525828,77525887,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.077525828,TRUE
PIGK,NM_005482,1,77554667,77685132,-,1,0,0,0,0,1,0,0,0,none,0,change,1,1.077554667,TRUE
AK5,NM_174858,1,77747662,78025654,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.077747662,TRUE
ZZZ3,NM_001308237,1,78028101,78149112,-,0,0,1,1,3,0,0,0,1,none,0,none,0,1.078028101,TRUE
USP33,NM_015017,1,78161674,78225564,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.078161674,TRUE
FAM73A,NM_198549,1,78245309,78345225,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.078245309,TRUE
NEXN-AS1,NR_103535,1,78347033,78355224,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.078347033,TRUE
NEXN,NM_144573,1,78354200,78409578,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.0783542,TRUE
FUBP1,NR_130152,1,78412167,78444889,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.078412167,TRUE
DNAJB4,NM_007034,1,78470636,78482995,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.078470636,TRUE
GIPC2,NM_001304725,1,78510646,78604133,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.078510646,TRUE
MGC27382,NR_027310,1,78695283,78835147,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.078695283,TRUE
PTGFR,NM_000959,1,78956728,79006386,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.078956728,TRUE
IFI44L,NM_006820,1,79086067,79111830,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.079086067,TRUE
IFI44,NM_006417,1,79115477,79129763,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.079115477,TRUE
ADGRL4,NM_022159,1,79355449,79472495,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.079355449,TRUE
LOC101927412,NR_125940,1,81001440,81112473,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.08100144,TRUE
LOC101927434,NR_125943,1,81979565,82023387,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.081979565,TRUE
ADGRL2,NM_001297704,1,82165455,82458422,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.082165455,TRUE
LINC01361,NR_110633,1,83439566,83451891,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.083439566,TRUE
LOC101927587,NR_119375,1,84041471,84326679,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084041471,TRUE
MIR548AP,NR_049805,1,84259598,84379059,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.084259598,TRUE
LOC101927560,NR_119374,1,84267199,84326229,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084267199,TRUE
TTLL7,NM_024686,1,84335057,84464833,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.084335057,TRUE
PRKACB,NM_002731,1,84543658,84704181,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084543658,TRUE
SAMD13,NM_001010971,1,84764049,84816481,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084764049,TRUE
UOX,NR_003927,1,84830641,84863576,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084830641,TRUE
DNASE2B,NM_021233,1,84864215,84880691,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084864215,TRUE
RPF1,NM_025065,1,84944920,84964033,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.08494492,TRUE
GNG5,NM_005274,1,84964006,84972262,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.084964006,TRUE
SPATA1,NM_001310156,1,84971984,85022178,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.084971984,TRUE
CTBS,NM_004388,1,85018804,85040163,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.085018804,TRUE
LINC01461,NR_125761,1,85063647,85086714,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085063647,TRUE
LINC01555,NR_027379,1,85093913,85100703,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085093913,TRUE
SSX2IP,NM_001166294,1,85109390,85156240,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.08510939,TRUE
LPAR3,NM_012152,1,85279086,85358896,-,0,1,1,0,2,1,0,0,1,change,1,none,0,1.085279086,TRUE
MCOLN2,NM_153259,1,85391266,85462805,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.085391266,TRUE
MCOLN3,NM_001253693,1,85483765,85514223,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085483765,TRUE
WDR63,NM_145172,1,85527981,85598821,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.085527981,TRUE
MIR4423,NR_039619,1,85599477,85599556,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085599477,TRUE
SYDE2,NM_032184,1,85623356,85666728,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085623356,TRUE
C1orf52,NR_024113,1,85715637,85725355,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085715637,TRUE
BCL10,NM_003921,1,85731460,85742587,-,0,1,1,1,3,1,0,0,1,change,1,none,0,1.08573146,TRUE
LOC646626,NR_045484,1,85742041,85743771,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.085742041,TRUE
DDAH1,NM_001134445,1,85784168,86044046,-,-1,0,1,0,2,1,2,1,1,none,0,change,1,1.085784168,TRUE
CYR61,NM_001554,1,86046444,86049648,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.086046444,TRUE
ZNHIT6,NM_017953,1,86115106,86174116,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.086115106,TRUE
COL24A1,NM_152890,1,86194916,86622121,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.086194916,TRUE
ODF2L,NM_001184766,1,86812507,86862025,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.086812507,TRUE
MIR7856,NR_107010,1,86823315,86823370,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.086823315,TRUE
CLCA2,NM_006536,1,86889769,86922240,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.086889769,TRUE
CLCA1,NM_001285,1,86934526,86965974,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.086934526,TRUE
CLCA4,NM_012128,1,87012759,87046432,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.087012759,TRUE
CLCA3P,NR_024604,1,87099959,87121059,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.0870999590000001,TRUE
SH3GLB1,NM_001206653,1,87170253,87213867,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.087170253,TRUE
41166,NM_004261,1,87328128,87380107,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.087328128,TRUE
HS2ST1,NM_012262,1,87380335,87575681,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.087380335,TRUE
LINC01140,NR_026989,1,87595448,87634886,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.087595448,TRUE
LOC101927844,NM_001290053,1,87678352,87717014,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.087678352,TRUE
LMO4,NM_006769,1,87794151,87814607,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.087794151,TRUE
LINC01364,NR_038324,1,87819210,87837338,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.08781921,TRUE
PKN2-AS1,NR_110682,1,89003196,89150887,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089003196,TRUE
PKN2,NM_006256,1,89149922,89301938,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089149922,TRUE
GTF2B,NM_001514,1,89318321,89357301,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089318321,TRUE
CCBL2,NM_001008661,1,89401456,89458643,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089401456,TRUE
RBMXL1,NM_019610,1,89445139,89458643,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089445139,TRUE
GBP3,NM_018284,1,89472360,89488549,-,-1,1,0,0,0,1,2,1,0,change,1,change,1,1.08947236,TRUE
GBP1,NM_002053,1,89517987,89531043,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.089517987,TRUE
GBP2,NM_004120,1,89571816,89591842,-,-1,-1,0,1,1,1,3,1,1,change,1,change,1,1.089571816,TRUE
GBP7,NM_207398,1,89597434,89641723,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089597434,TRUE
GBP4,NM_052941,1,89646831,89664633,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.089646831,TRUE
GBP5,NM_001134486,1,89724634,89738544,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089724634,TRUE
LOC729930,NR_077244,1,89754941,89756045,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089754941,TRUE
GBP6,NM_198460,1,89829436,89853719,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089829436,TRUE
GBP1P1,NR_003133,1,89873238,89890493,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.089873238,TRUE
LRRC8B,NM_001134476,1,89990397,90063420,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.089990397,TRUE
FLJ27354,NR_033981,1,90090408,90098453,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.090090408,TRUE
LRRC8C,NM_032270,1,90098644,90185094,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.090098644,TRUE
LRRC8D,NM_001134479,1,90286573,90401989,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.090286573,TRUE
GEMIN8P4,NR_002830,1,90458824,90460525,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.090458824,TRUE
ZNF326,NM_182976,1,90460678,90494094,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.090460678,TRUE
BARHL2,NM_020063,1,91177579,91182794,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.091177579,TRUE
ZNF644,NM_032186,1,91380857,91487812,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.091380857,TRUE
HFM1,NM_001017975,1,91726323,91870426,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.091726323,TRUE
CDC7,NM_003503,1,91966404,91991321,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.091966404,TRUE
TGFBR3,NM_001195684,1,92145900,92371559,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.0921459,TRUE
BRDT,NM_207189,1,92414928,92479985,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092414928,TRUE
EPHX4,NM_173567,1,92495533,92529093,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092495533,TRUE
SETSIP,NM_001287737,1,92539993,92541029,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.092539993,TRUE
BTBD8,NM_183242,1,92545862,92613401,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.092545862,TRUE
KIAA1107,NM_015237,1,92632609,92650280,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.092632609,TRUE
C1orf146,NM_001012425,1,92683573,92711367,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092683573,TRUE
GLMN,NM_053274,1,92711955,92764566,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092711955,TRUE
RPAP2,NM_024813,1,92764522,92853732,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092764522,TRUE
GFI1,NM_005263,1,92940318,92952433,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092940318,TRUE
EVI5,NM_001308248,1,92974253,93257961,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.092974253,TRUE
RPL5,NM_000969,1,93297594,93307481,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.093297594,TRUE
FAM69A,NM_001252273,1,93298286,93427079,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.093298286,TRUE
SNORD21,NR_000006,1,93302846,93302940,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.093302846,TRUE
SNORA66,NR_002444,1,93306276,93306408,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.093306276,TRUE
MTF2,NM_001164393,1,93544792,93604638,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.093544792,TRUE
TMED5,NM_016040,1,93615299,93646246,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.093615299,TRUE
CCDC18,NM_206886,1,93646273,93744287,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.093646273,TRUE
LOC100131564,NR_034089,1,93775666,93811368,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.093775666,TRUE
DR1,NM_001938,1,93811478,93828148,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.0938114780000001,TRUE
FNBP1L,NM_017737,1,93913688,94020218,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.093913688,TRUE
BCAR3,NM_001261408,1,94027343,94312706,-,0,0,0,1,1,0,0,0,1,none,0,none,0,1.094027343,TRUE
LOC100129046,NR_034091,1,94057525,94065587,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.094057525,TRUE
MIR760,NR_030621,1,94312388,94312467,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.094312388,TRUE
DNTTIP2,NM_014597,1,94335014,94344762,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.0943350139999999,TRUE
GCLM,NM_002061,1,94350756,94375154,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.094350756,TRUE
ABCA4,NM_000350,1,94458394,94586705,-,1,1,1,0,2,1,0,0,1,change,1,change,1,1.0944583940000001,TRUE
ARHGAP29,NM_004815,1,94634463,94703307,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.094634463,TRUE
ABCD3,NM_002858,1,94883933,94984219,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.094883933,TRUE
F3,NM_001993,1,94994732,95007413,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.094994732,TRUE
LINC01057,NR_104131,1,95123089,95285837,-,1,0,0,0,0,1,0,0,0,none,0,change,1,1.0951230889999999,TRUE
MIR378G,NR_039620,1,95211416,95211456,-,0,0,1,0,2,0,0,0,1,none,0,none,0,1.095211416,TRUE
SLC44A3,NM_001301079,1,95286100,95360803,+,1,1,1,0,2,1,0,0,1,change,1,change,1,1.0952861,TRUE
CNN3,NM_001839,1,95362505,95392779,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.095362505,TRUE
LOC729970,NR_033998,1,95393584,95428826,+,1,0,0,0,0,1,0,0,0,none,0,change,1,1.095393584,TRUE
ALG14,NR_131032,1,95448279,95538507,-,0,1,0,1,1,1,0,0,1,change,1,none,0,1.095448279,TRUE
TMEM56,NM_001199679,1,95558073,95663161,+,1,0,0,0,0,1,0,0,0,none,0,change,1,1.095558073,TRUE
TMEM56-RWDD3,NM_001199691,1,95583479,95710509,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.095583479,TRUE
LOC101928118,NR_125948,1,95628775,95699538,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.095628775,TRUE
RWDD3,NR_103484,1,95699711,95712781,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.095699711,TRUE
FLJ31662,NR_033966,1,95940293,95944912,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.095940293,TRUE
LOC100996635,NR_110622,1,95975672,95981020,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.095975672,TRUE
LOC102723661,NR_125991,1,96457624,96488436,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.096457624,TRUE
LOC101928241,NR_110693,1,96719625,96839681,-,0,0,1,0,2,0,0,0,1,none,0,none,0,1.096719625,TRUE
PTBP2,NM_021190,1,97187161,97280605,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.097187161,TRUE
DPYD,NM_000110,1,97543300,98386615,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.0975432999999999,TRUE
DPYD-AS1,NR_046590,1,97561479,97788511,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.097561479,TRUE
DPYD-AS2,NR_046591,1,98262477,98263607,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.098262477,TRUE
MIR137HG,NR_046105,1,98453556,98515249,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.098453556,TRUE
MIR2682,NR_039604,1,98510799,98510907,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.098510799,TRUE
MIR137,NR_029679,1,98511626,98511727,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.098511626,TRUE
LOC729987,NR_046088,1,98676267,98738214,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.098676267,TRUE
SNX7,NM_152238,1,99127236,99226056,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.099127236,TRUE
LPPR5,NM_001010861,1,99355801,99470449,-,1,1,0,0,0,1,0,0,0,change,1,change,1,1.099355801,TRUE
LOC100129620,NR_033940,1,99469832,99614408,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.099469832,TRUE
LPPR4,NM_014839,1,99729848,99775138,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.099729848,TRUE
LOC101928270,NR_125951,1,99937976,99953360,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.099937976,TRUE
PALMD,NM_017734,1,100111431,100160097,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.100111431,TRUE
MIR548AA1,NR_037516,1,100154611,100178513,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.100154611,TRUE
MIR548D1,NR_030382,1,100154611,100178513,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.100154611,TRUE
FRRS1,NM_001013660,1,100174259,100231349,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.100174259,TRUE
AGL,NM_000642,1,100315640,100389579,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.10031564,TRUE
SLC35A3,NM_012243,1,100435345,100492534,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.100435345,TRUE
HIAT1,NM_033055,1,100503789,100548929,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.100503789,TRUE
SASS6,NM_001304829,1,100549101,100598651,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.100549101,TRUE
TRMT13,NM_019083,1,100598706,100616054,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.100598706,TRUE
LRRC39,NM_001256385,1,100614004,100643829,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.100614004,TRUE
DBT,NM_001918,1,100652478,100715409,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.100652478,TRUE
RTCA-AS1,NR_110435,1,100730298,100731730,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.100730298,TRUE
RTCA,NM_001130841,1,100731714,100758325,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.100731714,TRUE
MIR553,NR_030279,1,100746797,100746864,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.100746797,TRUE
CDC14A,NM_003672,1,100818023,100985833,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.100818023,TRUE
GPR88,NM_022049,1,101003728,101007583,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.101003728,TRUE
LINC01349,NR_038914,1,101092606,101112560,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.101092606,TRUE
VCAM1,NM_001199834,1,101185196,101204601,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.101185196,TRUE
EXTL2,NM_001261442,1,101337928,101360735,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.101337928,TRUE
SLC30A7,NM_133496,1,101361634,101447311,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.101361634,TRUE
DPH5,NM_015958,1,101455180,101491362,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.10145518,TRUE
LOC102606465,NR_109849,1,101491402,101552935,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.101491402,TRUE
LOC101928370,NR_104626,1,101700429,101702084,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.101700429,TRUE
S1PR1,NM_001400,1,101702305,101707076,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.101702305,TRUE
LINC01307,NR_126402,1,101789393,101842869,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.101789393,TRUE
OLFM3,NM_001288823,1,102268123,102462790,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.102268123,TRUE
DNAJA1P5,NR_033424,1,102337568,102360299,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.102337568,TRUE
COL11A1,NM_080629,1,103342023,103574052,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.103342023,TRUE
LOC101928436,NM_001286997,1,103960701,104068105,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.103960701,TRUE
RNPC3,NM_017619,1,104068578,104097859,+,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.104068578,TRUE
AMY2B,NM_020978,1,104097266,104122156,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.104097266,TRUE
ACTG1P4,NR_024438,1,104112026,104114008,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.104112026,TRUE
AMY2A,NM_000699,1,104159954,104168402,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.104159954,TRUE
AMY1A,NM_001008221,1,104198141,104207173,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.104198141,TRUE
AMY1C,NM_001008219,1,104198303,104207172,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.104198303,TRUE
AMY1B,NM_001008218,1,104198325,104207172,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.104198325,TRUE
LOC100129138,NR_033990,1,104615645,104619693,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.104615645,TRUE
LOC101928476,NR_125955,1,106132316,106161557,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.106132316,TRUE
PRMT6,NM_018137,1,107599267,107601916,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.1075992669999999,TRUE
NTNG1,NM_001113228,1,107682629,108024475,+,0,0,1,0,2,0,0,0,1,none,0,none,0,1.107682629,TRUE
VAV3,NM_006113,1,108113782,108507545,-,0,1,0,0,0,1,0,0,0,change,1,none,0,1.108113782,TRUE
MIR7852,NR_107006,1,108439845,108439926,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.108439845,TRUE
VAV3-AS1,NR_046653,1,108507065,108537229,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.108507065,TRUE
SLC25A24,NM_013386,1,108677344,108742980,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.108677344,TRUE
NBPF4,NM_001143989,1,108765963,108786703,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.108765963,TRUE
NBPF6,NM_001143987,1,108992904,109013260,+,-1,-1,1,1,3,1,3,1,1,change,1,change,1,1.108992904,TRUE
FAM102B,NM_001010883,1,109102971,109181949,+,0,1,0,0,0,1,0,0,0,change,1,none,0,1.109102971,TRUE
HENMT1,NM_144584,1,109190910,109204148,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.10919091,TRUE
PRPF38B,NM_018061,1,109234932,109244422,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.1092349320000001,TRUE
FNDC7,NM_001144937,1,109255556,109285367,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.109255556,TRUE
STXBP3,NM_007269,1,109289285,109352148,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.109289285,TRUE
